sent_id	token	begin_ms	end_ms
bas_s01	maange	141	666
bas_s01	a	988	1009
bas_s01	mporo	1109	1513
bas_s01	Basaa	1553	2118
bas_s02	maange	121	685
bas_s02	a	988	1008
bas_s02	mbii	1109	1512
bas_s02	ngwaa	1633	1976
bas_s03	maange	202	727
bas_s03	a	969	989
bas_s03	nsomb	1090	1453
bas_s03	makala	1594	2099
bas_s04	maange	202	627
bas_s04	a	850	870
bas_s04	ndje	992	1174
bas_s04	makala	1275	1720
bas_s05	maange	141	545
bas_s05	a	727	747
bas_s05	nche	828	1111
bas_s06	maange	182	565
bas_s06	a	686	707
bas_s06	ngke	787	989
bas_s06	i	1131	1151
bas_s06	bom	1232	1393
bas_s07	maange	120	442
bas_s07	a	602	622
bas_s07	ngkor	703	1044
bas_s08	maange	122	507
bas_s08	a	608	628
bas_s08	nnyo	710	912
bas_s09	maange	61	405
bas_s09	a	506	526
bas_s09	nnyii	628	1073
bas_s09	su	1174	1296
bas_s10	maange	201	624
bas_s10	a	805	825
bas_s10	ngang	986	1247
bas_s10	kaar	1388	1830
